gid	name	X	Y
153	坝头村	33507.269000	30023.450000
154	山茶场	33611.696000	30014.841000
155	山庄上	33388.354708	30981.444908
156	朝阳小学	35428.151000	30736.028000
157	朝阳村委会	35158.110000	30681.210000
158	薛家村	35442.047000	30566.413000
159	成庄坝	35377.235000	30963.776000
160	朝阳村卫生所W	35164.826000	30724.265000
161	市东方管件厂	35122.518000	30647.896000
162	市金安纺织品有限公司	35071.407000	30646.210000
163	市申达色织厂	35225.767000	30669.363000
164	市富阳织布厂	35378.696000	30691.281000
165	朝阳林场	35088.629000	30137.801000
166	朝阳茶场	35090.424000	30104.436000
167	土堆	35298.966000	30228.831000
168	朝阳新村	35161.819000	30329.838000
169	章家湾	35475.608000	30027.905000
170	山观朝阳砖厂	35228.790000	30319.864000
171	市勤丰布厂	35002.956000	30428.937000
172	道士村	35555.059000	30967.899000
173	孟家村	35841.132000	30589.460000
174	武进市立华禽畜稷山有	35991.415999	30069.832000
175	章家湾	35516.359000	30105.006000
176	狄家村	35780.865000	30362.995000
177	姚塘经河	35623.620250	30411.768000
178	姚塘经河	35549.132440	30648.256739
179	朝阳河	35280.305025	30602.592150
180	朝阳河	35256.376414	30843.124271
181	朝阳河	37024.268000	30085.092000
182	陈家巷	37159.168000	30194.186000
183	仲家巷	37732.804000	30157.673000
184	陆家巷	37522.214000	30286.589000
185	小住基	37581.920000	30586.156000
186	杜家巷	37356.688000	30591.200000
187	蒋巷上	37451.200000	30942.377000
188	青鱼塘	37881.088000	30894.183000
189	朝东村	37866.704000	30969.803000
190	德凯工艺鞋业	37518.152000	30484.598000
191	东林电灌南站	37531.631000	30005.875000
192	光辉纺织公司	37839.249000	30033.491000
193	东林小学	37467.258000	30798.421000
194	富恒布业公司	37513.802000	30850.588000
195	龙宇模塑制品公司	37942.160000	30858.914000
196	祥苑布业	37697.693000	30550.000000
197	金裕纺织公司	37850.711000	30827.482000
198	光华橡塑制品公司	37798.758000	30787.558000
199	林兴不锈钢制品公司	37818.464000	30711.955000
200	光华纺织公司	37751.999000	30704.604000

